time_point,original_signal,reconstructed_signal,squared_error
285,-0.17219803,0.03318751,0.042183217
286,-0.025920397,0.03318751,0.0034937446
287,0.1796041,0.03318751,0.021437818
288,0.42571318,0.66349757,0.056541413
289,0.6915022,0.66349757,0.0007842602
290,0.9553478,1.1092983,0.02370078
291,1.1964743,1.4643399,0.071751945
292,1.3964349,1.1092983,0.0824474
293,1.5403867,1.4643399,0.0057831197
294,1.6180615,1.8820645,0.069697544
295,1.624358,1.4643399,0.025605826
296,1.5595226,1.4643399,0.009059761
297,1.4289179,1.1092983,0.10215665
298,1.2424194,1.4643399,0.049248703
299,1.0135082,1.1092983,0.009175752
